SUBJECTS,PERSONNAL_INTEREST,ORIGINALITY,CONTROVERSE,SUBJECT_KNOWLEDGE,AMOUNT_OF_WORK
Films,9.0,10.0,7.0,3.0,1.0
CarEngines,0.0,8.0,7.0,3.0,6.0
Food,1.0,7.0,5.0,8.0,3.0
Heroes,8.0,0.0,9.0,4.0,6.0
Agents_choice,2.0,6.0,6.0,7.0,4.0
Philosophy,9.0,7.0,3.0,1.0,4.0
Politics,4.0,3.0,0.0,4.0,1.0
Classes,10.0,2.0,3.0,5.0,1.0
Vacations,8.0,4.0,10.0,1.0,2.0
Sports,7.0,1.0,6.0,0.0,8.0
Book,1.0,4.0,1.0,10.0,1.0
Music,10.0,3.0,7.0,6.0,2.0
Games,9.0,1.0,3.0,3.0,2.0
TV,6.0,3.0,9.0,9.0,3.0
Movies,10.0,4.0,6.0,6.0,0.0
Animals,0.0,9.0,10.0,8.0,6.0
Nature,4.0,5.0,4.0,2.0,4.0
Science,8.0,9.0,3.0,9.0,9.0
History,0.0,8.0,6.0,8.0,9.0
Geography,5.0,7.0,7.0,7.0,6.0
Art,3.0,10.0,10.0,2.0,6.0
Math,0.0,2.0,9.0,6.0,5.0
Language,4.0,6.0,6.0,5.0,3.0
Technology,6.0,0.0,4.0,0.0,6.0
City,6.0,10.0,0.0,9.0,7.0
Country,9.0,7.0,6.0,7.0,7.0
Family,9.0,4.0,8.0,6.0,1.0
Friends,9.0,2.0,6.0,6.0,9.0
School,2.0,2.0,7.0,6.0,6.0
Work,1.0,10.0,3.0,9.0,2.0
Hobbies,6.0,5.0,3.0,5.0,0.0
Health,3.0,6.0,8.0,5.0,3.0
Future_plans,2.0,6.0,0.0,7.0,0.0
Dreams,1.0,5.0,3.0,10.0,2.0
Goals,1.0,1.0,4.0,3.0,10.0
Love,0.0,5.0,6.0,1.0,5.0
